order_no,order_date,order_status,customer_type,customer_legacy_code
EB2B1000005317,2025-06-30,C,I,GC50384524
EB2B1000005318,2025-07-14,C,I,GC10719539
EB2B1000005319,2025-06-14,C,I,GC42280906
EB2B1000005320,2025-06-13,P,I,GC74635885
EB2B1000005321,2025-06-29,P,D,GC29466895
EB2B1000005322,2025-07-21,C,I,GC53961638
EB2B1000005323,2025-07-16,C,I,GC24406372
EB2B1000005324,2025-07-17,C,I,GC97675315
EB2B1000005325,2025-06-14,P,I,GC23954006
EB2B1000005326,2025-07-30,X,D,GC47441833
EB2B1000005327,2025-07-07,C,I,GC31895055
EB2B1000005328,2025-07-12,C,I,GC58015656
EB2B1000005329,2025-07-08,C,I,GC46122478
EB2B1000005330,2025-06-12,C,I,GC47207440
EB2B1000005331,2025-07-24,C,D,GC52088657
EB2B1000005332,2025-07-30,C,D,GC36656353
EB2B1000005333,2025-06-02,C,I,GC43423167
EB2B1000005334,2025-06-21,C,I,GC38092671
EB2B1000005335,2025-06-12,P,I,GC63938948
EB2B1000005336,2025-06-12,C,D,GC28491507
EB2B1000005337,2025-06-10,C,I,GC51079324
EB2B1000005338,2025-07-07,P,I,GC10459152
EB2B1000005339,2025-07-07,X,I,GC56635546
EB2B1000005340,2025-07-29,C,I,GC16839113
EB2B1000005341,2025-07-10,C,I,GC72825287
EB2B1000005342,2025-06-14,C,I,GC47373355
EB2B1000005343,2025-07-18,C,I,GC79437349
EB2B1000005344,2025-06-27,C,I,GC52065222
EB2B1000005345,2025-07-27,C,I,GC78105370
EB2B1000005346,2025-06-11,C,I,GC11722586
EB2B1000005347,2025-06-07,C,D,GC31182569
EB2B1000005348,2025-07-17,C,I,GC16531664
EB2B1000005349,2025-06-28,C,I,GC44206757
EB2B1000005350,2025-07-22,C,I,GC90818451
EB2B1000005351,2025-06-21,C,D,GC97755782
EB2B1000005352,2025-07-13,C,D,GC18020907
EB2B1000005353,2025-07-25,P,I,GC28320921
EB2B1000005354,2025-07-08,C,D,GC41899399
EB2B1000005355,2025-06-05,C,I,GC75629343
EB2B1000005356,2025-07-11,P,D,GC78690958
EB2B1000005357,2025-06-20,C,I,GC46903354
EB2B1000005358,2025-06-16,C,I,GC53961638
EB2B1000005359,2025-07-06,C,I,GC92571893
EB2B1000005360,2025-07-06,C,I,GC69761289
EB2B1000005361,2025-06-10,C,D,GC95320264
EB2B1000005362,2025-06-16,C,D,GC19158638
EB2B1000005363,2025-07-28,C,I,GC72028610
EB2B1000005364,2025-06-11,P,I,GC89629793
EB2B1000005365,2025-06-21,C,D,GC53274663
EB2B1000005366,2025-07-12,C,D,GC19373966
EB2B1000005367,2025-06-24,C,D,GC12037883
EB2B1000005368,2025-07-15,P,I,GC68226527
EB2B1000005369,2025-06-16,C,I,GC60291405
EB2B1000005370,2025-07-21,C,I,GC10292428
EB2B1000005371,2025-07-07,C,D,GC34027688
EB2B1000005372,2025-07-25,C,I,GC27921592
EB2B1000005373,2025-07-28,C,I,GC42008703
EB2B1000005374,2025-07-05,C,I,GC97767609
EB2B1000005375,2025-06-14,C,I,GC94772931
EB2B1000005376,2025-06-21,C,I,GC41490443
EB2B1000005377,2025-07-06,C,I,GC12634395
EB2B1000005378,2025-07-31,P,D,GC58547818
EB2B1000005379,2025-06-20,C,D,GC42282510
EB2B1000005380,2025-06-18,P,I,GC89042306
EB2B1000005381,2025-06-27,C,I,GC73908898
EB2B1000005382,2025-06-08,C,I,GC50343535
EB2B1000005383,2025-07-02,C,I,GC91039410
EB2B1000005384,2025-07-17,C,D,GC29241916
EB2B1000005385,2025-07-12,C,I,GC91260195
EB2B1000005386,2025-06-30,C,I,GC46597195
EB2B1000005387,2025-07-18,C,I,GC14578708
EB2B1000005388,2025-07-18,C,I,GC51678306
EB2B1000005389,2025-07-27,C,I,GC37690126
EB2B1000005390,2025-07-02,C,I,GC51352528
EB2B1000005391,2025-06-15,C,I,GC89208997
EB2B1000005392,2025-06-11,C,I,GC37990700
EB2B1000005393,2025-07-22,C,I,GC75547360
EB2B1000005394,2025-06-26,C,I,GC83334032
EB2B1000005395,2025-06-19,C,I,GC82440371
EB2B1000005396,2025-06-16,C,I,GC70690090
EB2B1000005397,2025-07-31,C,I,GC18169131
EB2B1000005398,2025-06-02,C,I,GC67796900
EB2B1000005399,2025-07-07,C,D,GC42046782
EB2B1000005400,2025-06-22,C,I,GC34080385
EB2B1000005401,2025-06-17,C,D,GC11872359
EB2B1000005402,2025-07-26,C,D,GC98499057
EB2B1000005403,2025-06-17,C,D,GC79910371
EB2B1000005404,2025-07-07,C,I,GC11783979
EB2B1000005405,2025-07-22,C,D,GC35986503
EB2B1000005406,2025-07-31,C,I,GC60309638
EB2B1000005407,2025-07-20,C,D,GC73921605
EB2B1000005408,2025-07-02,C,I,GC34953074
EB2B1000005409,2025-07-10,C,I,GC85982862
EB2B1000005410,2025-07-16,P,I,GC71518719
EB2B1000005411,2025-07-17,C,I,GC28850509
EB2B1000005412,2025-06-08,C,I,GC59680785
EB2B1000005413,2025-06-12,P,I,GC51754071
EB2B1000005414,2025-07-28,C,I,GC94183188
EB2B1000005415,2025-06-29,P,I,GC42257238
EB2B1000005416,2025-07-09,C,I,GC41802263
EB2B1000005417,2025-07-23,C,I,GC97580116
EB2B1000005418,2025-07-25,C,I,GC53691252
EB2B1000005419,2025-07-26,C,D,GC28066449
EB2B1000005420,2025-07-08,P,I,GC63069304
EB2B1000005421,2025-06-29,P,I,GC48948304
EB2B1000005422,2025-06-01,C,I,GC50608690
EB2B1000005423,2025-06-12,C,I,GC70120895
EB2B1000005424,2025-07-07,P,I,GC48899945
EB2B1000005425,2025-06-12,C,I,GC71012928
EB2B1000005426,2025-06-29,C,D,GC11804855
EB2B1000005427,2025-06-05,P,I,GC19322043
EB2B1000005428,2025-06-11,P,D,GC27071472
EB2B1000005429,2025-06-04,C,I,GC73329409
EB2B1000005430,2025-06-22,C,D,GC24155900
EB2B1000005431,2025-06-16,X,D,GC96615201
EB2B1000005432,2025-07-13,C,I,GC11060092
EB2B1000005433,2025-07-28,C,D,GC72298460
EB2B1000005434,2025-07-09,C,D,GC29994374
EB2B1000005435,2025-06-30,P,D,GC46143160
EB2B1000005436,2025-07-19,C,D,GC27948365
EB2B1000005437,2025-07-04,C,I,GC49747835
EB2B1000005438,2025-07-29,C,I,GC96382807
EB2B1000005439,2025-07-02,C,D,GC62504528
EB2B1000005440,2025-07-17,P,I,GC16037602
EB2B1000005441,2025-06-08,P,I,GC68399149
EB2B1000005442,2025-06-14,C,I,GC22265679
EB2B1000005443,2025-07-02,C,I,GC35144941
EB2B1000005444,2025-07-16,C,D,GC71593272
EB2B1000005445,2025-07-28,C,D,GC47985938
EB2B1000005446,2025-07-23,P,I,GC77567894
EB2B1000005447,2025-06-21,C,D,GC60423728
EB2B1000005448,2025-06-09,C,I,GC36743897
EB2B1000005449,2025-07-08,C,D,GC23301739
EB2B1000005450,2025-07-31,C,I,GC43626780
EB2B1000005451,2025-07-06,C,I,GC42567348
EB2B1000005452,2025-07-31,C,I,GC98477659
EB2B1000005453,2025-07-29,C,D,GC69586290
EB2B1000005454,2025-07-04,C,D,GC76836028
EB2B1000005455,2025-06-16,C,I,GC73781582
EB2B1000005456,2025-06-09,P,I,GC93710220
EB2B1000005457,2025-06-10,C,I,GC66689004
EB2B1000005458,2025-06-02,P,D,GC82309430
EB2B1000005459,2025-07-22,C,I,GC30428651
EB2B1000005460,2025-07-14,C,I,GC26964845
EB2B1000005461,2025-07-19,C,D,GC44273540
EB2B1000005462,2025-06-07,C,I,GC18677624
EB2B1000005463,2025-06-09,C,I,GC88270257
EB2B1000005464,2025-07-21,C,I,GC89331123
EB2B1000005465,2025-06-24,C,I,GC80017740
EB2B1000005466,2025-06-26,P,D,GC29512130
EB2B1000005467,2025-07-17,C,I,GC58970920
EB2B1000005468,2025-07-21,C,D,GC32398512
EB2B1000005469,2025-07-17,C,D,GC32609782
EB2B1000005470,2025-07-26,C,D,GC51689344
EB2B1000005471,2025-06-04,C,I,GC43746828
EB2B1000005472,2025-07-06,P,D,GC37843059
EB2B1000005473,2025-06-13,C,I,GC97161933
EB2B1000005474,2025-06-12,P,I,GC88545322
EB2B1000005475,2025-06-03,C,I,GC39665008
EB2B1000005476,2025-07-27,C,D,GC60283839
EB2B1000005477,2025-06-03,C,I,GC52901755
EB2B1000005478,2025-06-17,C,I,GC24781783
EB2B1000005479,2025-07-19,P,I,GC97755782
EB2B1000005480,2025-07-06,P,I,GC27357063
EB2B1000005481,2025-07-02,C,I,GC75430674
EB2B1000005482,2025-07-09,X,I,GC95872544
EB2B1000005483,2025-07-22,C,D,GC68655485
EB2B1000005484,2025-07-31,C,D,GC40212304
EB2B1000005485,2025-07-14,P,D,GC61680358
EB2B1000005486,2025-07-27,C,I,GC94129142
EB2B1000005487,2025-06-30,C,I,GC91439883
EB2B1000005488,2025-07-04,C,D,GC20939544
EB2B1000005489,2025-07-03,C,D,GC59720070
EB2B1000005490,2025-07-03,C,I,GC16992585
EB2B1000005491,2025-07-26,C,D,GC55347939
EB2B1000005492,2025-07-07,C,D,GC63086639
EB2B1000005493,2025-06-29,C,I,GC93726413
EB2B1000005494,2025-06-23,C,I,GC47277197
EB2B1000005495,2025-07-14,P,I,GC34450775
EB2B1000005496,2025-06-14,C,D,GC63518621
EB2B1000005497,2025-07-15,C,D,GC26306114
EB2B1000005498,2025-07-18,C,I,GC29886575
EB2B1000005499,2025-07-17,C,I,GC42715893
EB2B1000005500,2025-07-16,C,D,GC34730353
EB2B1000005501,2025-07-27,C,I,GC47674933
EB2B1000005502,2025-06-24,C,I,GC27521857
EB2B1000005503,2025-07-13,C,I,GC79607791
EB2B1000005504,2025-07-03,C,D,GC13824787
EB2B1000005505,2025-06-23,C,I,GC22389075
EB2B1000005506,2025-06-12,C,I,GC17213167
EB2B1000005507,2025-06-16,C,I,GC41802263
EB2B1000005508,2025-07-11,C,I,GC29138848
EB2B1000005509,2025-07-05,C,D,GC95573823
EB2B1000005510,2025-06-26,C,I,GC42399944
EB2B1000005511,2025-07-30,C,D,GC86744869
EB2B1000005512,2025-06-04,C,D,GC61350116
EB2B1000005513,2025-07-22,C,I,GC39168908
EB2B1000005514,2025-07-24,C,I,GC91674485
EB2B1000005515,2025-07-30,C,D,GC30918595
EB2B1000005516,2025-07-19,C,D,GC90977513
EB2B1000005517,2025-07-21,C,D,GC49165484
EB2B1000005518,2025-07-23,C,I,GC41555291
EB2B1000005519,2025-07-20,C,I,GC95640742
EB2B1000005520,2025-06-03,C,I,GC71771451
EB2B1000005521,2025-06-13,C,D,GC96848857
EB2B1000005522,2025-06-02,C,I,GC94701730
EB2B1000005523,2025-06-18,C,I,GC40003511
EB2B1000005524,2025-06-20,P,I,GC93054727
EB2B1000005525,2025-06-16,P,I,GC93906615
EB2B1000005526,2025-07-30,P,D,GC94045854
EB2B1000005527,2025-06-25,C,I,GC26952687
EB2B1000005528,2025-07-12,C,I,GC61623796
EB2B1000005529,2025-06-06,P,I,GC42762641
EB2B1000005530,2025-07-23,C,I,GC71174364
EB2B1000005531,2025-07-07,C,I,GC13522788
EB2B1000005532,2025-07-25,C,I,GC89890370
EB2B1000005533,2025-07-21,P,D,GC57218427
EB2B1000005534,2025-07-07,X,I,GC37131995
EB2B1000005535,2025-06-21,C,I,GC98705666
EB2B1000005536,2025-06-08,X,I,GC46969062
EB2B1000005537,2025-06-30,C,I,GC75547360
EB2B1000005538,2025-06-05,C,I,GC77594636
EB2B1000005539,2025-06-23,X,D,GC88406887
EB2B1000005540,2025-07-24,P,D,GC46869104
EB2B1000005541,2025-07-26,C,D,GC27279124
EB2B1000005542,2025-06-11,P,I,GC80380884
EB2B1000005543,2025-06-14,C,I,GC77575794
EB2B1000005544,2025-07-26,C,I,GC25145863
EB2B1000005545,2025-07-17,P,I,GC61716183
EB2B1000005546,2025-07-07,X,D,GC67859244
EB2B1000005547,2025-07-28,C,I,GC63056925
EB2B1000005548,2025-07-30,C,I,GC85416933
EB2B1000005549,2025-07-26,C,I,GC74975404
EB2B1000005550,2025-06-06,P,I,GC91357341
EB2B1000005551,2025-06-02,C,I,GC71549421
EB2B1000005552,2025-07-20,X,I,GC26051288
EB2B1000005553,2025-06-10,C,I,GC80703020
EB2B1000005554,2025-07-12,C,I,GC16960906
EB2B1000005555,2025-07-07,P,I,GC72529032
EB2B1000005556,2025-06-11,C,I,GC56356961
EB2B1000005557,2025-07-20,C,D,GC52781724
EB2B1000005558,2025-07-30,C,I,GC43778330
EB2B1000005559,2025-07-17,C,I,GC57428438
EB2B1000005560,2025-07-31,C,I,GC53351112
EB2B1000005561,2025-07-08,P,I,GC23733443
EB2B1000005562,2025-07-18,C,D,GC65800998
EB2B1000005563,2025-06-23,C,I,GC95184862
EB2B1000005564,2025-07-13,P,D,GC49027097
EB2B1000005565,2025-06-02,C,I,GC23253224
EB2B1000005566,2025-06-06,C,D,GC53756742
EB2B1000005567,2025-06-20,C,D,GC66715484
EB2B1000005568,2025-06-13,C,I,GC18955654
EB2B1000005569,2025-07-01,C,I,GC33517361
EB2B1000005570,2025-06-18,C,I,GC19028796
EB2B1000005571,2025-07-12,C,I,GC96740906
EB2B1000005572,2025-07-26,C,I,GC78642629
EB2B1000005573,2025-07-18,C,I,GC15628343
EB2B1000005574,2025-07-03,C,I,GC17531569
EB2B1000005575,2025-06-13,P,I,GC70881578
EB2B1000005576,2025-06-04,C,I,GC26295769
EB2B1000005577,2025-07-10,C,I,GC29108179
EB2B1000005578,2025-07-23,C,D,GC28849582
EB2B1000005579,2025-06-13,C,I,GC49907513
EB2B1000005580,2025-07-29,C,I,GC21598781
EB2B1000005581,2025-06-01,C,I,GC56328320
EB2B1000005582,2025-07-07,X,I,GC58663129
EB2B1000005583,2025-06-27,C,I,GC71977968
EB2B1000005584,2025-07-01,C,I,GC31198772
EB2B1000005585,2025-06-06,C,I,GC90440472
EB2B1000005586,2025-06-14,P,I,GC78281626
EB2B1000005587,2025-07-14,C,I,GC14302906
EB2B1000005588,2025-07-08,C,I,GC97365194
EB2B1000005589,2025-07-02,C,I,GC91212919
EB2B1000005590,2025-06-06,C,I,GC96210380
EB2B1000005591,2025-07-09,C,I,GC86758847
EB2B1000005592,2025-06-08,C,I,GC98432853
EB2B1000005593,2025-06-10,C,D,GC56823088
EB2B1000005594,2025-06-26,C,I,GC49228733
EB2B1000005595,2025-06-04,C,D,GC10574350
EB2B1000005596,2025-07-11,P,D,GC31188015
EB2B1000005597,2025-06-10,C,I,GC88726945
EB2B1000005598,2025-07-17,C,I,GC63959197
EB2B1000005599,2025-06-10,P,D,GC26206185
EB2B1000005600,2025-06-08,C,I,GC24001392
EB2B1000005601,2025-06-14,C,I,GC32645646
EB2B1000005602,2025-06-11,C,I,GC14385512
EB2B1000005603,2025-06-08,C,I,GC32328873
EB2B1000005604,2025-07-26,C,I,GC13441419
EB2B1000005605,2025-07-14,P,D,GC17323881
EB2B1000005606,2025-07-30,C,I,GC25344634
EB2B1000005607,2025-07-15,P,I,GC38243618
EB2B1000005608,2025-06-30,P,I,GC57158074
EB2B1000005609,2025-06-27,C,D,GC53521847
EB2B1000005610,2025-06-30,C,I,GC63590510
EB2B1000005611,2025-07-19,X,I,GC19158638
EB2B1000005612,2025-07-13,C,I,GC77930179
EB2B1000005613,2025-06-09,C,D,GC33008094
EB2B1000005614,2025-06-04,C,I,GC75800289
EB2B1000005615,2025-06-08,C,I,GC99673571
EB2B1000005616,2025-07-09,C,D,GC56619939
EB2B1000005617,2025-07-20,C,D,GC57599687
EB2B1000005618,2025-07-18,C,I,GC69830209
EB2B1000005619,2025-07-14,C,I,GC93342668
EB2B1000005620,2025-06-06,X,I,GC77086404
EB2B1000005621,2025-06-08,C,D,GC28889241
EB2B1000005622,2025-06-08,C,I,GC37624348
EB2B1000005623,2025-06-25,C,I,GC72212219
EB2B1000005624,2025-06-26,X,I,GC75249732
EB2B1000005625,2025-06-07,C,I,GC58974793
EB2B1000005626,2025-06-09,C,I,GC28318112
EB2B1000005627,2025-07-29,C,I,GC53194369
EB2B1000005628,2025-06-12,C,D,GC71202946
EB2B1000005629,2025-06-03,C,I,GC33163997
EB2B1000005630,2025-06-08,C,I,GC81869924
EB2B1000005631,2025-07-10,C,D,GC29144226
EB2B1000005632,2025-07-17,C,I,GC12141515
EB2B1000005633,2025-06-03,C,D,GC90908131
EB2B1000005634,2025-06-29,C,D,GC99041184
EB2B1000005635,2025-06-09,C,I,GC79651618
EB2B1000005636,2025-07-17,C,I,GC34691117
EB2B1000005637,2025-06-22,C,D,GC84277127
EB2B1000005638,2025-07-13,C,I,GC58299387
EB2B1000005639,2025-07-18,C,D,GC60543809
EB2B1000005640,2025-07-30,X,I,GC54796947
EB2B1000005641,2025-07-04,C,D,GC62430296
EB2B1000005642,2025-07-19,C,I,GC43739900
EB2B1000005643,2025-06-29,C,I,GC23760099
EB2B1000005644,2025-07-30,P,I,GC55126455
EB2B1000005645,2025-06-16,C,D,GC48505078
EB2B1000005646,2025-06-13,C,I,GC19991216
EB2B1000005647,2025-07-30,C,I,GC19408620
EB2B1000005648,2025-07-10,C,I,GC86518436
EB2B1000005649,2025-07-18,C,I,GC72031070
EB2B1000005650,2025-07-17,C,I,GC22259214
EB2B1000005651,2025-06-14,C,D,GC73530347
EB2B1000005652,2025-06-03,C,I,GC25395963
EB2B1000005653,2025-06-19,C,D,GC22862118
EB2B1000005654,2025-07-07,P,I,GC16122001
EB2B1000005655,2025-06-13,X,I,GC75411700
EB2B1000005656,2025-06-28,C,D,GC84953463
EB2B1000005657,2025-06-25,P,D,GC80995825
EB2B1000005658,2025-06-22,C,I,GC79838315
EB2B1000005659,2025-06-14,P,D,GC42385743
EB2B1000005660,2025-07-05,C,D,GC32364326
EB2B1000005661,2025-06-01,C,I,GC97056735
EB2B1000005662,2025-07-13,P,I,GC19896028
EB2B1000005663,2025-06-12,P,I,GC65950146
EB2B1000005664,2025-06-30,C,D,GC93265522
EB2B1000005665,2025-07-12,C,I,GC52461165
EB2B1000005666,2025-07-27,P,I,GC52075215
EB2B1000005667,2025-07-13,C,I,GC85982862
EB2B1000005668,2025-07-22,X,I,GC72306017
EB2B1000005669,2025-06-20,C,D,GC23261275
EB2B1000005670,2025-07-20,P,I,GC89438729
EB2B1000005671,2025-07-04,C,I,GC72658369
EB2B1000005672,2025-06-07,C,D,GC86800757
EB2B1000005673,2025-06-10,C,I,GC78123659
EB2B1000005674,2025-07-19,P,I,GC99778757
EB2B1000005675,2025-07-21,C,I,GC42688154
EB2B1000005676,2025-06-19,C,I,GC62091796
EB2B1000005677,2025-06-12,C,D,GC50531871
EB2B1000005678,2025-06-07,C,I,GC51649604
EB2B1000005679,2025-06-06,P,I,GC56658526
EB2B1000005680,2025-06-19,C,I,GC53858104
EB2B1000005681,2025-06-02,C,D,GC78806311
EB2B1000005682,2025-07-21,C,I,GC23028371
EB2B1000005683,2025-07-06,C,I,GC52096774
EB2B1000005684,2025-07-14,X,D,GC90014633
EB2B1000005685,2025-06-26,C,D,GC18808386
EB2B1000005686,2025-07-11,P,I,GC86649413
EB2B1000005687,2025-07-04,X,I,GC57679636
EB2B1000005688,2025-06-09,C,I,GC25217605
EB2B1000005689,2025-07-30,P,I,GC63149397
EB2B1000005690,2025-06-22,C,I,GC41228768
EB2B1000005691,2025-07-26,C,D,GC37843059
EB2B1000005692,2025-06-01,C,I,GC93420414
EB2B1000005693,2025-07-07,X,D,GC55760780
EB2B1000005694,2025-07-13,C,I,GC78172784
EB2B1000005695,2025-06-21,P,I,GC82857235
EB2B1000005696,2025-06-09,C,I,GC38939368
EB2B1000005697,2025-06-10,C,I,GC31869528
EB2B1000005698,2025-07-09,C,I,GC13092131
EB2B1000005699,2025-06-19,C,I,GC24790683
EB2B1000005700,2025-06-25,C,D,GC94336613
EB2B1000005701,2025-06-09,P,D,GC52293683
EB2B1000005702,2025-06-02,C,I,GC46153018
EB2B1000005703,2025-07-24,X,I,GC13119198
EB2B1000005704,2025-07-23,P,D,GC91624673
EB2B1000005705,2025-07-08,C,I,GC70228445
EB2B1000005706,2025-06-13,C,D,GC75340518
EB2B1000005707,2025-07-15,P,I,GC93932889
EB2B1000005708,2025-07-25,C,I,GC32555403
EB2B1000005709,2025-06-24,C,I,GC38436861
EB2B1000005710,2025-06-23,C,D,GC96540325
EB2B1000005711,2025-07-17,X,I,GC43889297
EB2B1000005712,2025-06-25,C,D,GC55278396
EB2B1000005713,2025-07-24,C,D,GC49030787
EB2B1000005714,2025-07-21,C,I,GC76855296
EB2B1000005715,2025-06-05,C,I,GC56828593
EB2B1000005716,2025-07-22,C,I,GC90506654
EB2B1000005717,2025-07-18,P,D,GC17996341
EB2B1000005718,2025-07-18,C,I,GC60238966
EB2B1000005719,2025-07-12,C,I,GC24479352
EB2B1000005720,2025-06-01,C,I,GC34907429
EB2B1000005721,2025-07-22,C,I,GC88335942
EB2B1000005722,2025-07-30,C,D,GC66008290
EB2B1000005723,2025-06-14,P,I,GC37198033
EB2B1000005724,2025-07-16,C,I,GC30688043
EB2B1000005725,2025-07-13,C,D,GC27841755
EB2B1000005726,2025-07-07,C,I,GC24256665
EB2B1000005727,2025-07-09,P,I,GC93525402
EB2B1000005728,2025-06-23,C,D,GC43623322
EB2B1000005729,2025-06-09,C,D,GC77571186
EB2B1000005730,2025-07-20,C,I,GC96382807
EB2B1000005731,2025-07-15,C,I,GC22631026
EB2B1000005732,2025-07-08,C,D,GC60292051
EB2B1000005733,2025-07-02,C,D,GC23066102
EB2B1000005734,2025-07-23,C,I,GC14153705
EB2B1000005735,2025-06-02,C,I,GC47290843
EB2B1000005736,2025-07-20,P,D,GC47146394
EB2B1000005737,2025-06-07,C,D,GC16531664
EB2B1000005738,2025-06-15,C,I,GC28713077
EB2B1000005739,2025-06-30,C,I,GC19342782
EB2B1000005740,2025-06-08,P,I,GC13968089
EB2B1000005741,2025-06-10,C,I,GC60699081
EB2B1000005742,2025-06-18,C,I,GC39101720
EB2B1000005743,2025-06-13,C,D,GC68822422
EB2B1000005744,2025-06-28,P,I,GC30921437
EB2B1000005745,2025-07-30,C,D,GC53649791
EB2B1000005746,2025-06-23,C,I,GC26743635
EB2B1000005747,2025-07-06,P,D,GC73604818
EB2B1000005748,2025-06-21,C,I,GC76481027
EB2B1000005749,2025-07-05,P,I,GC91674485
EB2B1000005750,2025-06-24,C,I,GC22802899
EB2B1000005751,2025-06-25,C,I,GC79174131
EB2B1000005752,2025-06-20,P,I,GC87030941
EB2B1000005753,2025-07-19,P,I,GC68174698
EB2B1000005754,2025-07-30,P,D,GC24476095
EB2B1000005755,2025-06-09,C,I,GC40688223
EB2B1000005756,2025-06-14,X,I,GC14914026
EB2B1000005757,2025-07-25,C,I,GC52253072
EB2B1000005758,2025-06-02,C,I,GC32381271
EB2B1000005759,2025-06-17,C,I,GC63609010
EB2B1000005760,2025-07-31,X,I,GC70860191
EB2B1000005761,2025-06-05,C,I,GC82923013
EB2B1000005762,2025-07-27,C,I,GC18842104
EB2B1000005763,2025-07-18,C,I,GC16920612
EB2B1000005764,2025-07-20,C,I,GC67434792
EB2B1000005765,2025-06-10,C,I,GC61632246
EB2B1000005766,2025-06-02,C,D,GC45924244
EB2B1000005767,2025-06-10,C,I,GC61628627
EB2B1000005768,2025-07-01,C,D,GC80206603
EB2B1000005769,2025-07-30,C,I,GC29014267
EB2B1000005770,2025-06-04,C,D,GC47877173
EB2B1000005771,2025-06-28,C,I,GC95381661
EB2B1000005772,2025-06-08,C,D,GC86056500
EB2B1000005773,2025-06-24,C,I,GC16534020
EB2B1000005774,2025-07-10,C,D,GC67593155
EB2B1000005775,2025-06-11,C,I,GC54618734
EB2B1000005776,2025-07-01,C,I,GC16003970
EB2B1000005777,2025-06-15,C,I,GC46762949
EB2B1000005778,2025-07-06,C,I,GC67164749
EB2B1000005779,2025-07-02,C,I,GC38154362
EB2B1000005780,2025-06-18,P,I,GC50446284
EB2B1000005781,2025-06-04,P,I,GC38329117
EB2B1000005782,2025-06-11,C,D,GC84209891
EB2B1000005783,2025-07-09,C,I,GC89034390
EB2B1000005784,2025-07-10,C,I,GC68030164
EB2B1000005785,2025-06-04,C,I,GC59544134
EB2B1000005786,2025-06-29,C,I,GC77408068
EB2B1000005787,2025-07-17,C,I,GC23543068
EB2B1000005788,2025-07-17,C,I,GC39604115
EB2B1000005789,2025-06-06,C,D,GC49991663
EB2B1000005790,2025-06-28,C,I,GC80208227
EB2B1000005791,2025-06-28,C,I,GC57395084
EB2B1000005792,2025-07-26,C,I,GC59948088
EB2B1000005793,2025-07-08,C,D,GC87424312
EB2B1000005794,2025-06-02,X,I,GC38507329
EB2B1000005795,2025-06-27,C,I,GC68226527
EB2B1000005796,2025-06-15,C,I,GC59570909
EB2B1000005797,2025-06-09,X,I,GC31475246
EB2B1000005798,2025-06-09,C,I,GC58547818
EB2B1000005799,2025-07-26,P,I,GC71826611
EB2B1000005800,2025-06-19,P,I,GC24148036
EB2B1000005801,2025-07-04,C,I,GC47929886
EB2B1000005802,2025-07-12,C,D,GC40106377
EB2B1000005803,2025-07-31,C,I,GC71408972
EB2B1000005804,2025-07-28,C,I,GC38268009
EB2B1000005805,2025-06-07,X,D,GC69114791
EB2B1000005806,2025-06-22,C,D,GC18518098
EB2B1000005807,2025-06-21,P,I,GC61544630
EB2B1000005808,2025-06-17,C,I,GC41692809
EB2B1000005809,2025-07-31,X,I,GC99945021
EB2B1000005810,2025-07-26,C,I,GC57874974
EB2B1000005811,2025-06-11,C,D,GC96388439
EB2B1000005812,2025-07-23,C,I,GC35647136
EB2B1000005813,2025-07-27,C,I,GC38651477
EB2B1000005814,2025-07-14,C,I,GC29909634
EB2B1000005815,2025-07-11,C,I,GC16945615
EB2B1000005816,2025-07-12,C,I,GC36650269
EB2B1000005817,2025-06-01,C,I,GC44846207
EB2B1000005818,2025-06-15,C,I,GC67082519
EB2B1000005819,2025-07-15,C,I,GC76229777
EB2B1000005820,2025-07-16,C,I,GC54808596
EB2B1000005821,2025-07-26,C,D,GC61204292
EB2B1000005822,2025-06-19,P,D,GC50790697
EB2B1000005823,2025-06-03,P,D,GC66642448
EB2B1000005824,2025-06-16,C,I,GC67229772
EB2B1000005825,2025-06-04,C,I,GC22891308
EB2B1000005826,2025-06-08,C,I,GC12354860
EB2B1000005827,2025-06-02,C,I,GC30224364
EB2B1000005828,2025-07-10,C,D,GC72673716
EB2B1000005829,2025-06-24,C,I,GC98529233
EB2B1000005830,2025-07-29,C,I,GC93680829
EB2B1000005831,2025-07-28,C,D,GC26244964
EB2B1000005832,2025-06-26,C,I,GC58065049
EB2B1000005833,2025-07-02,C,I,GC66537506
EB2B1000005834,2025-07-07,C,I,GC38477668
EB2B1000005835,2025-07-29,C,I,GC52323714
EB2B1000005836,2025-07-20,C,I,GC77842475
EB2B1000005837,2025-07-11,C,I,GC18718099
EB2B1000005838,2025-06-29,C,I,GC67953319
EB2B1000005839,2025-06-24,C,D,GC17693044
EB2B1000005840,2025-06-28,C,I,GC57601987
EB2B1000005841,2025-07-28,C,D,GC22113193
EB2B1000005842,2025-07-21,C,D,GC87902618
EB2B1000005843,2025-06-20,C,I,GC68213514
EB2B1000005844,2025-07-10,C,I,GC61377017
EB2B1000005845,2025-06-05,C,I,GC84032876
EB2B1000005846,2025-06-24,C,D,GC96258750
EB2B1000005847,2025-06-29,C,I,GC70006771
EB2B1000005848,2025-07-08,C,D,GC69954440
EB2B1000005849,2025-07-14,X,D,GC22549776
EB2B1000005850,2025-07-20,C,I,GC24476095
EB2B1000005851,2025-06-23,C,D,GC69153839
EB2B1000005852,2025-06-24,C,I,GC57428314
EB2B1000005853,2025-06-19,P,D,GC68008992
